TIME	Sat + Tue			Sat			Sun + Wed			Sun			Mon	Tue			Wed			Thu	Fri
	AI	CN	SE	AI-lab	CN-lab	SE-lab	AI	CN	SE	AI-lab	CN-lab	SE-lab	xxx	AI-lab	CN-lab	SE-lab	AI-lab	CN-lab	SE-lab	xxx	xxx
8:30	NaFA-A	ASKP-A	SAMZ-A	TBA-A		TBA-A	SMSR-I	MdMH-F	SSSk-E	SnRn-D	AIMM-A	SAMZ-E	x	FzAn-G	ABF-E	SrAd-I	RJM-J	AIMM-I	ArMd-M	x	x
													x							x	x
													x							x	x
													x							x	x
9:50	ShAhd-B	MNK-B	MMIN-K				FzAn-J	ABF-G	SdACh-F				x							x	x
													x							x	x
													x							x	x
													x							x	x
11:10	NaFA-D	ASKP-C	SSSk-B	SHMm-B		SaMb-B		AKMMI-H	MBAd-G	AHMOH-E	ABF-B	SdAh-F	x	TBA-H	TaH-F	SdACh-J	KMRH-K	MdMH-J	TBA-N	x	x
													x							x	x
													x							x	x
													x							x	x
12:30		AIMM-D	SAMZ-C				FzAn-G	AIMM-I	TBA-H				x							x	x
													x							x	x
													x							x	x
													x							x	x
13:50	AHMOH-E	AIMM-E	SSSk-D	MTR-C		MMIN-C	NaFA-H	ME-J	MBAd-I	KMRH-F	MdMH-C	SSSk-G	x	MTR-I	ABF-G	TBA-K	RJM-L	ABF-K	SSSk-O	x	x
													x							x	x
													x							x	x
													x							x	x
15:10							NaFA-F	ME-K	SMJI-J				x							x	x
													x							x	x
													x							x	x
													x							x	x
END													x							x	x